high_temp,low_temp,date_offset,holiday_type,week_day,weather_type
33,23,244,0,4,2
34,22,245,0,5,2
34,23,246,1,6,1
31,22,247,1,7,2
32,23,248,0,1,2
27,21,249,0,2,2
27,20,250,0,3,2
30,21,251,0,4,2
33,23,252,0,5,2
30,21,253,1,6,1
28,20,254,1,7,2
30,20,255,0,1,2
31,21,256,0,2,2
29,22,257,0,3,2
24,21,258,2,4,2
24,22,259,2,5,2
27,21,260,2,6,2
28,20,261,0,7,2
26,18,262,0,1,2
25,17,263,0,2,2
24,17,264,0,3,1
27,18,265,0,4,2
27,19,266,0,5,1
28,20,267,1,6,2
28,21,268,1,7,2
29,22,269,0,1,2
30,23,270,0,2,1
24,19,271,0,3,1
21,17,272,0,4,1
22,19,273,0,5,2
